feature,importance_mean,importance_std
lag_1,0.24511390367487323,0.0385393624366805
lag_2,0.08981556985935979,0.006334351971912732
hour_cos,0.08896623406342852,0.023099090785315836
lag_24,0.04315123707638613,0.0033563438652519533
roll_std_6,0.022964917240669513,0.011882488743262132
RH_1,0.02270749975679438,0.004621555473226128
RH_3,0.0203081848302221,0.0021129658582768117
roll_std_3,0.0174016549901995,0.005763081866177618
RH_6,0.016290812111434037,0.007419667942960512
hour_sin,0.014204779934015388,0.008957990284022171
hour,0.01300552347823114,0.004093950704533396
roll_mean_12,0.007174209151906275,0.0037599435484191343
roll_mean_6,0.005158034034876535,0.006581168628356483
RH_4,0.0049636028777813035,0.0014642533420152343
T1,0.004947159095491682,0.001447685415306484
RH_out,0.0046308156237055975,0.002618168083639523
roll_mean_24,0.0037054552621986537,0.002466386754619902
T_out,0.002763626326810953,0.00370005326850214
RH_2,0.0025108484176865177,0.0017337103179333089
T8,0.00237011761182051,0.0010656522310543834
T3,0.002258218447200222,0.0010772411071294187
RH_8,0.0011655265727565256,0.003474878609541549
lag_6,0.0005679498674571182,0.001307141792663283
T5,0.0005448113954813705,0.0007980608691634718
lag_12,0.0004415576435704116,0.003247466836329295
Visibility,0.0004036702519372826,0.0042501067771151734
dow_cos,0.0003480105087720897,0.001564557518415283
T7,5.471628849118559e-07,1.0943257698237118e-06
is_weekend,0.0,0.0
rv2,0.0,0.0
T9,0.0,0.0
roll_mean_168,-0.0001626505051856908,0.005886310122658474
T4,-0.00041957107191794576,0.0005579571527293029
roll_std_24,-0.00044865719202387134,0.0045133803028907914
rv1,-0.0004652485626891467,0.0016471560328213928
T6,-0.0006255758994732297,0.0014709836548265015
Press_mm_hg,-0.0007051591982527583,0.002639258294919185
RH_5,-0.0007674453903147027,0.0043728193491293955
roll_mean_3,-0.0012104244731994784,0.0018942700696802043
roll_std_168,-0.001294211393730027,0.00166466309143576
Windspeed,-0.002236485671381616,0.004626192681603827
RH_9,-0.002238793916937443,0.002134445415226454
RH_7,-0.002600824666293122,0.005372961511011101
lag_3,-0.002602058147955755,0.004693177120772511
lag_48,-0.002934162936533591,0.006941144710239298
roll_std_12,-0.003196912856433065,0.0025110028890660036
Tdewpoint,-0.003494828294711727,0.004133859108659989
dow_sin,-0.0037346915711568675,0.006184161218993174
dayofweek,-0.0048188481092729775,0.0018068681440639716
lights,-0.007642367629950186,0.0061570314271292845
lag_168,-0.011993610636483677,0.0038065879165811722
T2,-0.016450505032976646,0.006936636440015667
