p,d,q,aic
6,0,0,15129.735056107209
6,1,1,15130.089212552164
6,1,2,15133.243622472846
1,0,5,15134.043953012617
0,0,6,15135.115771253222
0,1,6,15140.383592998875
5,0,1,15141.156013431326
5,1,1,15141.438266447736
5,0,0,15141.702757226725
1,0,4,15145.141959552093
0,0,5,15150.149170644097
5,1,2,15150.439679878198
6,1,6,15151.282309534537
2,0,4,15153.558111587334
1,0,3,15154.411666019392
4,0,1,15155.234950049758
2,0,3,15155.913671521852
4,1,2,15156.027712479641
4,1,1,15156.799935274841
4,0,0,15157.470074819532
1,1,3,15162.131784304725
3,1,2,15163.159731247495
5,0,5,15163.325152136824
2,1,2,15164.322400801611
3,1,1,15164.369654857011
3,0,0,15164.965755878582
6,0,5,15165.300512948445
3,0,1,15166.91038835658
2,0,2,15166.936844984015
0,1,5,15170.946704510656
1,0,2,15171.958147295285
2,1,3,15172.409929424928
2,1,1,15172.541013241875
2,0,0,15173.00890764418
2,0,1,15174.865789403482
1,1,5,15175.191678018862
0,1,4,15183.434579233937
3,0,5,15186.209974089103
0,0,4,15186.997823547448
5,0,3,15188.06560595685
4,1,6,15188.138919212275
6,0,6,15188.461460061917
3,1,6,15195.635270465116
5,1,6,15195.80012168601
1,0,1,15196.177488930702
1,1,4,15199.295786073864
2,0,6,15200.412835807128
0,1,3,15202.537207316882
5,1,5,15203.593880424358
2,1,4,15208.032168451895
4,1,5,15208.75075228609
0,0,3,15208.856186798057
2,2,2,15214.374478696976
3,1,4,15220.378928336577
6,1,0,15221.555730026528
2,1,6,15221.798914753155
2,0,5,15222.126697265043
6,0,4,15222.274347001678
6,2,1,15223.766546367671
3,1,3,15224.9303042133
6,2,2,15228.641492096125
3,0,6,15232.404595043736
6,1,5,15233.176958374228
4,0,6,15234.474118623544
5,1,0,15234.529300840819
5,2,1,15235.625914687591
1,0,6,15236.798261987919
5,1,4,15239.528820972047
5,2,2,15239.698963065512
3,1,5,15241.778531804073
4,1,0,15243.357554080236
4,2,1,15245.00295701059
6,0,1,15253.28168695594
0,0,2,15253.843128097616
6,0,2,15256.53911110254
5,0,6,15267.194838300245
5,0,2,15267.495734954451
4,1,3,15269.433134534269
4,0,4,15270.652255864334
4,0,5,15272.953160297322
0,2,2,15274.863658873854
5,0,4,15275.674044506986
0,1,2,15276.017687814783
1,1,2,15276.823859617398
3,0,4,15278.903642054038
0,1,1,15283.944728202296
1,1,1,15284.820539274526
3,0,3,15284.938606815896
1,2,2,15286.885098468269
6,1,4,15288.400885293093
3,1,0,15289.16301819311
3,2,1,15290.770794851356
0,2,3,15291.035900782605
1,1,6,15296.678112346184
1,0,0,15302.50499694938
4,0,3,15305.888328254494
6,2,3,15307.894329454459
2,1,0,15313.06931009754
2,2,1,15314.867251397212
1,2,1,15329.40094577301
1,1,0,15338.15175360371
2,1,5,15339.15601935998
3,2,2,15342.26979288236
6,0,3,15350.612883161699
4,1,4,15379.486646756319
6,2,6,15383.231289606745
6,2,4,15389.038099192083
3,0,2,15390.937121279592
2,2,4,15392.127616657966
4,2,6,15408.53182198819
1,2,3,15411.567349274337
4,0,2,15419.09170798615
5,2,3,15433.660896663569
5,2,5,15438.907037860943
2,2,6,15450.195191669765
3,2,6,15451.019213903608
6,2,5,15454.03523405776
5,2,6,15456.002579974529
1,2,6,15457.045573111867
5,1,3,15464.995187177788
0,0,1,15474.06610187696
0,2,6,15474.705224099882
4,2,5,15477.744891913815
4,2,4,15482.3787882667
3,2,3,15485.498045906743
2,2,5,15488.84135824551
4,2,3,15490.906633390772
5,2,4,15491.484152525896
3,2,5,15494.752655003449
4,2,2,15504.43901773764
3,2,4,15520.301819758624
6,2,0,15521.18457318193
1,2,5,15523.529614547791
2,2,3,15524.890313133168
6,1,3,15545.367198971368
0,2,5,15548.547845946336
1,2,4,15557.113521445584
5,2,0,15580.587412138706
0,2,4,15583.057060626135
0,2,1,15656.742828206592
4,2,0,15659.379956626173
0,1,0,15666.507812799573
0,0,0,15728.53544236754
3,2,0,15820.78684608974
2,2,0,15933.000984330429
1,2,0,16209.684306609373
0,2,0,17142.073598022667
